22:21:25.151 > READ:    Memory read at id: 0; Data: 255
22:21:25.151 > READ:    Memory read at id: 1; Data: 255
22:21:25.155 > READ:    Memory read at id: 2; Data: 255
22:21:25.159 > READ:    Memory read at id: 3; Data: 255
22:21:25.164 > READ:    Memory read at id: 4; Data: 255
22:21:25.167 > READ:    Memory read at id: 5; Data: 255
22:21:25.172 > READ:    Memory read at id: 6; Data: 255
22:21:25.176 > READ:    Memory read at id: 7; Data: 255
22:21:25.180 > READ:    Memory read at id: 8; Data: 255
22:21:25.180 > READ:    Memory read at id: 9; Data: 255
22:21:25.184 > READ:    Memory read at id: 10; Data: 255
22:21:25.188 > READ:    Memory read at id: 11; Data: 255
22:21:25.192 > READ:    Memory read at id: 12; Data: 255
22:21:25.196 > READ:    Memory read at id: 13; Data: 255
22:21:25.200 > READ:    Memory read at id: 14; Data: 255
22:21:25.205 > READ:    Memory read at id: 15; Data: 255
22:21:25.209 > READ:    Memory read at id: 16; Data: 255
22:21:25.213 > READ:    Memory read at id: 17; Data: 255
22:21:25.213 > READ:    Memory read at id: 18; Data: 255
22:21:25.217 > READ:    Memory read at id: 19; Data: 255
22:21:25.221 > READ:    Memory read at id: 20; Data: 255
22:21:25.225 > READ:    Memory read at id: 21; Data: 255
22:21:25.229 > READ:    Memory read at id: 22; Data: 255
22:21:25.233 > READ:    Memory read at id: 23; Data: 255
22:21:25.237 > READ:    Memory read at id: 24; Data: 255
22:21:25.241 > READ:    Memory read at id: 25; Data: 255
22:21:25.246 > READ:    Memory read at id: 26; Data: 1
22:21:25.246 > READ:    Memory read at id: 26; Data: 1
22:21:25.250 > READ:    Memory read at id: 26; Data: 1
22:21:25.254 > MEMORY:  Size: 100; Address: 0; Redundancy: 2; Data id: 26; Save count: 0
22:21:27.150 > LOG:     Motor: Stopped; LedStrip: Off; Goal:    1->None; Manual: None; LocNow: None; LocStop: NoneLOG:     Motor: Stopped; LedStrip: Off; Goal:    1->None; Manual: None; LocNow: None; LocStop: NoneLOG:     Motor: Stopped; LedStrip: Off; Goal:    1->None; Manual: None; LocNow: None; LocStop: NoneLOG:     Motor: Stopped; LedStrip: Off; Goal:    1->None; Manual: None; LocNow: None; LocStop: NoneLOG:     Motor: Stopped; LedStrip: Off; Goal:    1->None; Manual: None; LocNow: None; LocStop: None
